customer_id,company_name,industry,region,annual_revenue,contract_value,services_used,num_services,tenure_months,satisfaction_score,is_active,shipment_frequency,avg_shipment_value,payment_reliability,growth_potential
CUST-10000,Company_0,Retail,Midwest,37842675.78872711,89694.62231271811,"Supply Chain Solutions,Fleet Maintenance",2,29,6.435687390763248,True,Monthly,24739.11941210141,87.70827163308658,Medium
CUST-10001,Company_1,Technology,Southwest,1387781.9827247486,13841.968601524411,"Fleet Maintenance,Freight Management",2,20,7.987006963663767,True,Weekly,4845.26993104431,75.31838486034255,Medium
CUST-10002,Company_2,Manufacturing,Midwest,35072983.530702055,129132.40952495918,Dedicated Contract Carriage,1,4,7.142467700206584,False,Weekly,1082.8473639080955,76.38018030013554,Medium
CUST-10003,Company_3,Food & Beverage,West,140591616.04439402,1404422.4229374877,Fleet Maintenance,1,19,7.033582951170107,True,Daily,2506.009822867378,74.63447258703135,Low
CUST-10004,Company_4,Consumer Goods,Northeast,336871072.6848327,1421881.7152093758,"Supply Chain Solutions,Fleet Maintenance",2,1,9.01266712829066,True,Daily,6273.141636985384,85.29005010573385,High
CUST-10005,Company_5,E-commerce,Southwest,150900183.8406331,2637528.3612062293,"Distribution Center Management,Freight Management,Supply Chain Solutions",3,58,6.2973963431939435,True,Weekly,10789.264387443867,78.69892503306541,Medium
CUST-10006,Company_6,Automotive,Southeast,84987065.78997663,525233.6104196975,Distribution Center Management,1,3,5.604013407416175,False,Weekly,1818.679961391437,84.54230973184967,Low
CUST-10007,Company_7,Technology,Southeast,92303016.25085175,947226.2114357272,Fleet Maintenance,1,17,7.931882019034147,False,Weekly,870.3389013664108,89.4187793636542,High
CUST-10008,Company_8,Healthcare,Southeast,2079790.0183316118,11050.184491882279,"Distribution Center Management,Transportation Management,Dedicated Contract Carriage",3,65,9.697229426458161,True,Weekly,629.3009481379928,96.05209741222237,Low
CUST-10009,Company_9,Healthcare,Southeast,5700055.963496639,85494.34369770202,"Transportation Management,Fleet Maintenance",2,23,8.10528599214083,True,Daily,11448.658542677635,97.54026909910112,Low
CUST-10010,Company_10,Healthcare,West,303797449.76418996,1400038.096152694,"Distribution Center Management,Dedicated Contract Carriage,Freight Management",3,40,7.464353481593346,True,Weekly,1859.954285223904,87.69095420815253,Low
CUST-10011,Company_11,Food & Beverage,Northeast,2800498.974466248,47461.63489842312,Freight Management,1,11,4.8489676356856,True,Weekly,7072.420405836003,95.30651179622419,Low
CUST-10012,Company_12,E-commerce,Southwest,5807741605.935025,61016791.87645455,"Dedicated Contract Carriage,Supply Chain Solutions",2,6,6.6662302034068315,True,Monthly,1689.1493561234818,90.32297242502297,High
CUST-10013,Company_13,Consumer Goods,Southeast,84574887.8407173,1261608.0793831397,Fleet Maintenance,1,31,7.92711859121401,True,Monthly,18202.85174942035,86.98249414171063,Low
CUST-10014,Company_14,Technology,Southeast,116409949.77696715,260642.10439746833,Supply Chain Solutions,1,17,9.118492482361495,False,Weekly,4544.453141810928,94.96340718311163,Medium
CUST-10015,Company_15,E-commerce,West,24911721.95710017,328375.23706720804,"Supply Chain Solutions,Distribution Center Management",2,12,6.371761804806795,True,Monthly,2675.305675752108,82.36429158391485,Low
CUST-10016,Company_16,Consumer Goods,Northeast,179271159.81564844,2331692.4118896597,Supply Chain Solutions,1,57,7.2832730090830395,True,Weekly,8144.736131583414,57.683837791468974,Medium
CUST-10017,Company_17,Manufacturing,Northeast,564313440.4712908,6710008.814476146,Transportation Management,1,0,7.81195281345468,True,Weekly,1414.6993638956103,72.71261698101553,Low
CUST-10018,Company_18,Healthcare,West,19385841.012509014,167432.89393610787,"Dedicated Contract Carriage,Distribution Center Management,Freight Management",3,7,10.0,True,Weekly,17260.51399536577,71.41138932963551,Medium
CUST-10019,Company_19,Technology,Midwest,33165361.392798588,580907.2502110259,Distribution Center Management,1,19,6.31349724892985,True,Monthly,2505.0465111224353,79.04491624394801,High
CUST-10020,Company_20,Food & Beverage,Northeast,15293632.044759937,292949.6644618664,Supply Chain Solutions,1,37,7.345254453568252,True,Weekly,3644.668742851256,73.66976338765369,Medium
CUST-10021,Company_21,Technology,Northwest,11750374.06793976,50234.634043733975,Transportation Management,1,16,8.2354316868526,True,Daily,6976.668772724075,76.40154859719964,Low
CUST-10022,Company_22,Healthcare,Northwest,287810855.3759546,4579309.675606066,Transportation Management,1,9,9.577087699356214,True,Daily,1467.4827077867662,93.98313355382831,High
CUST-10023,Company_23,Automotive,Midwest,136773188.98086914,1691096.455631683,"Distribution Center Management,Supply Chain Solutions",2,0,8.975833231010458,True,Weekly,8776.212826781588,95.9773228994446,Low
CUST-10024,Company_24,Healthcare,West,178630327.02261093,2519465.6899264287,Distribution Center Management,1,7,7.837635365631774,True,Monthly,3688.441765318296,95.8900253550958,Medium
CUST-10025,Company_25,Healthcare,West,352936166.6150515,6184314.8297945205,"Fleet Maintenance,Transportation Management,Distribution Center Management,Supply Chain Solutions",4,15,8.894321717165196,True,Weekly,1467.8809062950622,81.30469141966631,Low
CUST-10026,Company_26,Consumer Goods,Southwest,25719565.064461686,38139.86824375209,"Fleet Maintenance,Supply Chain Solutions",2,43,10.0,True,Daily,6001.345894779898,73.3681023721254,Low
CUST-10027,Company_27,Manufacturing,Southwest,493038113.8203676,2887300.1722908067,Transportation Management,1,16,7.360044765991586,True,Monthly,2323.9336778772754,77.35906544168914,Low
CUST-10028,Company_28,Automotive,West,120347919.73419422,1343885.3413538402,"Dedicated Contract Carriage,Distribution Center Management",2,2,6.219961313078908,False,Weekly,9273.051496290278,93.93259128951617,High
CUST-10029,Company_29,Retail,West,4875942.228008042,54340.51899951353,Freight Management,1,33,6.963276543433233,True,Weekly,3299.3929262634147,92.05353281346285,High
CUST-10030,Company_30,Food & Beverage,Midwest,66113446.89478512,774506.9541163569,"Transportation Management,Fleet Maintenance",2,38,4.723479135089317,True,Weekly,2667.3553547092524,83.91685493723385,High
CUST-10031,Company_31,Manufacturing,Southeast,4468151.493674534,62085.09282133809,"Distribution Center Management,Supply Chain Solutions,Dedicated Contract Carriage",3,25,8.728354513911796,True,Weekly,212.2933096193971,77.20720330331721,High
CUST-10032,Company_32,Healthcare,Southwest,1040150142.6251702,18962213.11731652,"Dedicated Contract Carriage,Freight Management",2,151,5.383044850175683,True,Daily,784.0771019912602,64.67593268818702,Medium
CUST-10033,Company_33,Automotive,Southwest,4990336.378207089,94358.60692226223,Dedicated Contract Carriage,1,9,8.06601923713805,True,Daily,1529.8392541211276,63.24470892814562,Medium
CUST-10034,Company_34,Consumer Goods,Southeast,75729111.3579961,609037.6844812586,"Distribution Center Management,Transportation Management,Fleet Maintenance,Dedicated Contract Carriage",4,26,6.744623592476183,True,Weekly,8390.761602318576,93.33461866257609,High
CUST-10035,Company_35,Food & Beverage,Midwest,41896654.2976733,336300.05047875847,Distribution Center Management,1,86,6.349852420435639,True,Monthly,10017.995742198957,89.48485522088589,Medium
CUST-10036,Company_36,Consumer Goods,Northwest,31556607.106094595,95107.93983868198,"Transportation Management,Fleet Maintenance",2,14,10.0,False,Monthly,1688.4165521389982,79.26579190963318,High
CUST-10037,Company_37,Consumer Goods,Northeast,31834790.60811723,303757.5564222705,"Transportation Management,Freight Management,Supply Chain Solutions",3,54,6.452411756458551,True,Weekly,2497.728787730983,82.72925044162342,Medium
CUST-10038,Company_38,Technology,Northeast,7902961.727338209,39342.13969381038,"Fleet Maintenance,Supply Chain Solutions",2,28,5.752253407025203,True,Weekly,5149.687737310172,97.50562924715716,Low
CUST-10039,Company_39,Consumer Goods,Southeast,244646097.6093646,344309.48337869236,Freight Management,1,52,5.877039871720909,True,Weekly,19686.76621658609,62.6581748616652,Low
CUST-10040,Company_40,E-commerce,Northwest,13618070.10275335,248999.5681527482,"Supply Chain Solutions,Freight Management",2,4,8.73599240257525,True,Weekly,1272.365307976735,87.76230208843492,Medium
CUST-10041,Company_41,Healthcare,Southwest,57738217.466084324,833758.758150699,"Distribution Center Management,Fleet Maintenance,Transportation Management",3,28,5.40777901382741,True,Weekly,9294.204623563324,85.22750067054966,Low
CUST-10042,Company_42,E-commerce,Midwest,305824338.7429331,6001203.503722502,Distribution Center Management,1,32,4.289718121762732,True,Weekly,16484.428185337016,84.11440875259308,Medium
CUST-10043,Company_43,Consumer Goods,Northwest,330250179.1588564,4927037.747351461,"Supply Chain Solutions,Freight Management",2,56,7.345746013830701,True,Monthly,16279.765177899222,68.74549226226861,Medium
CUST-10044,Company_44,Healthcare,Midwest,20745711.1369277,393459.4747676352,Freight Management,1,35,7.020527719496249,True,Weekly,4227.952130640674,78.29114244173545,Low
CUST-10045,Company_45,Automotive,West,623379012.9690773,5237244.009648535,Distribution Center Management,1,5,7.312507952062386,True,Monthly,636.3072227123671,88.8150489901763,Low
CUST-10046,Company_46,Healthcare,Northwest,492541853.07492435,813856.2069839231,Supply Chain Solutions,1,21,9.955100335245566,True,Weekly,3323.84592611848,64.59371880534319,Medium
CUST-10047,Company_47,Consumer Goods,Midwest,54774505.74363478,335274.1567005748,Freight Management,1,17,8.487543181959444,True,Monthly,3073.6354375973096,78.78539538930407,Medium
CUST-10048,Company_48,E-commerce,West,9659653.578871189,191916.50199300767,Fleet Maintenance,1,9,9.022905348216682,True,Weekly,2424.9540791311892,87.84542868302422,High
CUST-10049,Company_49,Automotive,Southwest,20452629.70277459,54216.04596818544,Freight Management,1,25,2.0564622596650253,True,Weekly,19303.91827614527,89.9540145566312,High
CUST-10050,Company_50,E-commerce,Southwest,357610556.171807,6059278.2704985645,Distribution Center Management,1,13,5.10121109299836,True,Monthly,8640.263135924406,89.2005929216731,Low
CUST-10051,Company_51,Automotive,West,36197022.43875994,567655.3040671785,"Supply Chain Solutions,Transportation Management,Dedicated Contract Carriage",3,1,6.806199935602844,True,Weekly,2354.3146128848553,81.08886035865494,Low
CUST-10052,Company_52,Healthcare,Northwest,526337662.1307763,6883181.89190876,Dedicated Contract Carriage,1,43,4.594118214765031,True,Monthly,6360.21624689258,80.19644790665411,Medium
CUST-10053,Company_53,Manufacturing,Northeast,58999590.00075104,550952.2389418295,Transportation Management,1,16,7.894462870156596,True,Weekly,549.5301667978703,94.15137930517274,Medium
CUST-10054,Company_54,Technology,Southeast,43559367.703944266,146236.26185408203,Fleet Maintenance,1,34,7.3882334029332,True,Weekly,1659.5695367433161,93.14899138848862,High
CUST-10055,Company_55,Healthcare,Southeast,247704351.26712352,4666173.086802234,"Freight Management,Transportation Management,Fleet Maintenance,Dedicated Contract Carriage",4,24,6.480888874189207,True,Daily,9069.638833196923,73.18427968032725,Medium
CUST-10056,Company_56,Manufacturing,Northeast,140485016.1044723,2070459.5276316043,"Freight Management,Distribution Center Management",2,18,8.493030392209477,True,Daily,7339.906517374449,81.50056678199618,Medium
CUST-10057,Company_57,Consumer Goods,West,160792440.65005904,1278416.0158346475,"Freight Management,Dedicated Contract Carriage,Supply Chain Solutions",3,3,7.278885476606521,True,Weekly,2257.550304003785,89.94297287130298,Medium
CUST-10058,Company_58,Consumer Goods,Northeast,4311689.942086537,30184.802601034535,Dedicated Contract Carriage,1,5,9.58352805701897,True,Weekly,7375.065914501617,77.69089007983257,High
